movie,sentence,score
탑건: 매버릭,1편을 안보고 봐서 그런지 몰입도가 조금 떨어지긴 했어도 cg 멋있고 스토리 재밌었음. 역시 뻔한 스토리에 해피엔딩이 맛있다.,9
탑건: 매버릭,인생 영화 !!! 또 봐야겠습니다 ㅋ,10
탑건: 매버릭,꼭보세요. 인생영화.,10
토르: 러브 앤 썬더,화면이 화려해서 괜찮내요 마블영화 유치한건 먄날그래서 ㄱㅊ,8
탑건: 매버릭,저는 2번 볼거에요 3번보세요!,10
주(咒),파인애플 그것은 영화의 전체적 내용보다 아주큰 인상을 심어줍니다,6
탑건: 매버릭,걍 미쳤음 오랜만에 명작나왔다,10
탑건: 매버릭,말이필요없음 인생영화,10
토르: 러브 앤 썬더,토르 사랑꾼이네… 좀 졸렸음 ,4
날씨의 아이,"딱히 영화가 재미있었던건 아닌데, 장마철마다 생각나는 이상한 영화",8
토르: 러브 앤 썬더,산만하고 허탈하다. 이제껏 토르가 겪어온 모든 성장의 이야기를 한방에 날려버린 영화... 디즈니의 LGBT 드립은 언제까지...,2
마녀(魔女) Part2. The Other One,"마블보다는 마녀,   혹평이 많아서 극장을 갈까안갈까했지만.. 막상보니 왠걸 마블저리가라임.. 이런걸 극장서 봐야지.. 리뷰는 참고만 하자",10
룸 쉐어링,"동시녹음하던 양반이 왜 연출을 하려고 하는걸까? 영화만드는게 장난인가? 말도 않되는 설정, 현실세상에서 찾아보기 힘든 건실한 청년 등등 이딴것도 영화인가? 나문희, 김영옥같은 노인배우들이 출연하는 영화는 언제나 한결같은 주제로 늘 지긋지긋하다. 이런 영상물에 투자하는 사람들은 도대체 어떠한 생각을 하고 있는걸까? 감독은 아름다운 세상을 꿈꾸는가? 지나친 포퓰리즘은 심각한 정신병이다.",1
마녀(魔女) Part2. The Other One,내용이 연계성도 떨어지고 1편에서 억지로 짜집기한듯한 느낌입니다. 화끈한 액션도 부족해서 아쉬웠네요,4
토르: 러브 앤 썬더,이 영화는 기쁨과 슬픔이 있는 영화이다. 토르가 전 여친 마이티 토르를 만나면서 행복했는데 마이티 토르가 암으로 죽었다.,10
헤어질 결심,"전체적인 컨셉은 좋다. 하지만 칸에 맞춰 완성하려다보니 시나리오나 편집, 디테일적 요소에서 너무 많은 조잡함과 실수가 있어보인다. 딱 한국영화인데 탕웨이 박해일 연기가 그나마 위안이다.",4
탑건: 매버릭,"벅차오르고 재밌고 한순간도 지루할틈없음,,,최고",10
탑건: 매버릭,10점 만점에 11점 줍니다!!,10
"마진 콜: 24시간, 조작된 진실",매섭게 추운 겨울의 시작. 새벽의 군상.,6
토르: 러브 앤 썬더,재밌어요 생각없이 봐야 더 재밌어요생각 너무 다들 많이하며 보시는듯.,10
토르: 러브 앤 썬더,마블 영화가 예전같지 않아서 슬프네요,4
탑건: 매버릭,전투기 엔진소리가 내 마음을 울리네,10
토르: 러브 앤 썬더, 타이카 와이티티 감독의 재기발랄함이 너무 선명히 돋보여서 오히려 호불호를 가져왔다.,7
빅샤크4 : 바다공룡 대모험,동생이 재밌어했어용 나름 훈훈한 교훈도 있는 영화네용,8
탑건: 매버릭,걍 개지리는 영화 영화관에서 안 보면 후회함,10
토르: 러브 앤 썬더,존잼인데 불만이 많네ㅡㅡ,10
헤어질 결심,"국산영화, 기생충에 속고 오징어에 또 속고 절대, 다시는 안 본다 했지만 결국 매스컴에 넘어가 다시 본 헤어질 결심... 거듭 다짐했다, 절대로 다시는 안 속는다 아내와 굳은 맹세를 하였다 특히 칸 영화제, 박찬욱은 무조건 안 본다, 다시 다짐하네...",2
프리다의 그해 여름,마지막 우는 연기=외숙모 가족과 진짜 가족이 되었다는 느낌,8
탑건: 매버릭,연기는 말이 필요 없을 정도로 너무 잘하고 스토리랑 ost가 진짜 진국이었네요~,10
셜록 홈즈,영상미는 높은데 요즘 프로파일링이 보편화되서 추리가 좀 시시하게 느껴질수도 ,7
명탐정 코난: 할로윈의 신부,아무로도 멋있고 코난도 멋있고타타기도 멋있고 사토도 멋있다!,10
암수살인,딱히 감흥을 일으키는 실화는 아님,7
탑건: 매버릭,"4Dx2D 중앙자리에서 한번, 국내에서 가장큰 용산 아이맥스관 중앙자리에서 한번, 다시 4Dx2D 가장자리에서 한번 총3번을 봤는데~ 저는 4D 중앙자리가 가장 만족스럽더라고요. 하지만 무슨관이든 어디자리든 만족할거라고 장담합니다. 너무 재밌어서~ 또 볼려고요.",10
헤어질 결심,"그래, 헤어질 결심.. .  .",10
마녀(魔女) Part2. The Other One,이정도면 충분히 잼있던데 특히 액션은 정말 볼만함,10
탑건: 매버릭,톰행님의 열연 10점 만점에 100점 영화 제가  평점을 거의 남기지 않는 사람인데영화 보는 내내 손에 땀을쥐고 보았습니다 최고의 감동을 주셔서 감사합니다 ^^ ,10
더 킬러: 죽어도 되는 아이,이런일이 진짜 실제로 있을까 생각하면 개무서움 장혁 액션은 진짜 오지는듯.. 이역만리서 한국영화는 개봉할때마다 빠지지 않고 보는데 돈 아깝지 않았음 나름 꿀잼 ㅎㅎ ,10
범털2 : 쩐의 전쟁,영화보다 리뷰 댓글이 더잼있는 영화,10
콜 미 바이 유어 네임,퀴어물로 보지않고 그때그때 감정에 충실한 사랑을 표현한 하룻밤의 로맨스 같은 영화같아요.자식에 대한 부모님의 태도가 인상적이고 놀라웠어요.감정 하나하나 소중히여기고 회피하지않고 있는그대로 느껴서 소모해야 다음 인연도 이어나갈거라는 아버지의 말은 계속 생각날거같습니다.,10
스텔라,마지막에 감동적입니당 ,9
토르: 러브 앤 썬더,마블 영화 한편당 10번이상 다시보고 볼때마다 감동했던 사람인데요. 닥스2에 닥스는 치매가 와서 기술을 다까먹었나 싶고... 후속작들은 점점 히어로물에서 동화가 되어가네요.,1
탑건: 매버릭,   최고입니다!,10
토르: 러브 앤 썬더,부모님이 들려주는 동화책을 보는 느낌. 토르3 때문에 감독 믿고 봤는데..ㅜㅜ 마블 영화하면 무조건 영화관에서 봐야 한다고 생각했는데 이 영화는 예외로 하고 싶음.,6
명탐정 코난: 할로윈의 신부,역대급인듯 전 편이 실망이라 기대안했는데 진짜 재밌음..웃으면서 보고 쿠키에서 사람들 반응 난리 ㅋㅋ,10
탑건: 매버릭,간만에 영화다운 영화를 보았다,10
탑건: 매버릭,"내 인생 최고의 영화, 액션장르의 영화에서 이렇게 울어본 적은 처음인 것 같다.",10
엘비스,흑인음악에 사로잡힌 팝의 황제 비비킹 친구 엘비스,10
노바디 ,존윅이 묵직하고 택티컬한 느낌이라면 노바디는 좀 더 가벼운 느낌 대신 그만큼 더 가볍고 즐겁게 영화를 볼수있을듯 게다가 존윅보다 약간 더 잔인한 디테일이 살아있음 참고하면 좋음,10
명탐정 코난: 할로윈의 신부,최근꺼 중에 제일 재밌당,10
탑건: 매버릭,루즈한 순간이 없고 몰입도 영상감 지림,10
토르: 러브 앤 썬더,하도 주변에서 노잼이라고 하길래 기대 안 하고 봤는데 생각보다 재밌어서 놀랬다. 재미 없으면 중간에 나오려고 했는데 친구랑 끝까지 봤음ㅋㅋㅋㅋ다소 아재 개그가 많이 추가된 거 같긴 했지만 중간중간 피식하고 웃음이 나오는 정도였음. 전 편이 워낙 레전드라 그런 거지 망작은 절대 아님. 나름 토르의 이야기와 제인의 이야기를 잘 풀어낸 거 같아 볼 만 했다!,9
마녀(魔女) Part2. The Other One,3편을 위한 배경 같은데...  굳이 영화로 맨들 필요 있나 싶다. 넷플릭스 시리즈 물 중 하나로 하든지 하지.,5
탑건: 매버릭,"전투기 탈 때 꼭 내가 타는 것 같은 그런 느낌,,,!  4D가 아닌데도 이게 가능한 건가 싶었음,, 그래도 4D로 보고 싶다!",10
탑건: 매버릭,진짜 뒤집니다 1보고 보세요 ,10
백엔의 사랑,인생에서 한번도 승리해보지 못한 한여자가 한번의 승리를 위해 처음으로 진심을 다해본다.그 과정이 눈물겹지만 한편으론 피를 끓게 한다. 그래서 그 과정 자체가 승리였다.진짜 실패는 나는 늦었어하고 모든걸 내려 놓을때다. 하지만 언제나 다시 시작할 수 있는데 우리의 삶이다. 지금까지 내인생이 보잘것 없고 실패해 보이더라도 다시 시작하자! 거창할 필요없다. 한발짝을 땔 수 만 있다면 우리 인생은 아직 실패하지 않았다.,9
명탐정 코난: 할로윈의 신부,틀을 깨보려는 노력.남자들의 진한 우정.목숨보다 애틋한 사랑.언제나 함께하는 축구공. ,9
탑건: 매버릭,옆에 여친 없었다면 질질 짜면서 봤을것임. ,10
뒤틀린 집,"뒤틀린건 집도 아니고 가족관계도 아니고, 관객이었다. 줏어 담지도 못할 떡밥은 뭐하러 뿌리며, 영화 내내 대사의 불친절은 영상으로라도 친절해야 했는데, 영상도 불친절했다.",4
탑건: 매버릭,가실때 꼭 기저귀 차고 가세요. 있는거 없는거 다 쏟을테니.나의 인생영화.,10
마녀(魔女) Part2. The Other One,재밌기만하구만3편기대됨,10
토르: 러브 앤 썬더,기대가 컸나봐.. 너무별로였어요 ㅠ,2
헤어질 결심,박찬욱 판 &amp;#39;달콤살벌한 연인&amp;#39;; 진득한 사랑하는데 다른 사람 죽일 수도 있는거징.,9
극장판 귀멸의 칼날: 무한열차편,칼들고 괴물잡는 애니가 왜이렇게 슬프냐..,10
헤어질 결심,당신이 좀 더 꼿꼿하지 않았더라면..,10
탑건: 매버릭,영화관에서 봐야 하는 영화,10
헤어질 결심,너무 좋았습니다. 손익분기점 120만이라는데 잘 되었으면 하네요. (탕웨이짜응ㅜㅜ,9
탑건: 매버릭,2022년 최고의 영화,10
탑건: 매버릭,쉬는날 극장에서 볼수 있어서 정말 좋았습니다. 이런영화는 무조건 극장용이죠.!!!,10
헤어질 결심,다 보고나서도 계속 곱씹게 만드는 영화,10
위대한 침묵,진실은 언제나 거짓을 이긴다..좌파들의 거짓날조 선동 .,10
미 비포 유,내가 나로 살 수 있을 권리....내가 나로 마무리할 수 있는 자유....존엄사를 허하라!!!,10
빽 투 더 퓨쳐,시간 여행 영화의 영원한 고전. 3부작이지만 1부만 봐도 충분히 완결성이 있는 명작임.,10
둠스데이 - 지구 최후의 날,2008년작이다 애들아 ㅋㅋ이정도면 7점은 충분히된다 ,10
헤어질 결심,중국 최고 수출 탕웨이. ,10
그대가 조국,이게 그 전세내고 본다는 전설의 영화 ㅋㅋㅋ,1
인셉션,세번 봐야 이해가 가는데 세번 다 재미있긴 쉽지 않음.,10
더 킬러: 죽어도 되는 아이,최근 한국 영화중 최고로 통쾌하다,10
그리스,Grease,6
그레이 맨,더 킬러 보다 평점 낮은게 말이안뎌,10
탑건: 매버릭,완벽하진 않지만 기적같은 영화.,9
탑건: 매버릭,그냥 최고란 말 밖엔..,10
범죄도시2,그냥 존잼임. 1보다 시즌 2가 훨씬 재미있었음 조금 많이 잔인했지만 스토리 자체가 너무 재미있었어 계속 기억에 남음,10
탑건: 매버릭,탑건시리즈 안보고 봐도 재밌는 영화! 몰입도가 너무 높아요 액션도 최고,10
마녀(魔女) Part2. The Other One,망작입니다.,1
헤어질 결심,좀 어렵네 ㅋㅋ 다시봐야 하나,8
범죄도시2,진짜.. 너무 재밌어요.. 두번세번봐도 재밌어요..,10
헤어질 결심,인공눈물 한 방울 눈에 넣고 싶은 영화,9
마녀(魔女) Part2. The Other One,"뱀파이어,늑대인간물은 아니지만 액션씬은 트와일라잇을 생각나게 하네요. 그런데 딱 액션씬만 볼만 했습니다. 나머지는 글쎄요..1편은 재미있게 봤는데 2편은 어찌된건지 굉장히 지루했고 킬링타임용만도 못한 그런 느낌의 영화였습니다. 3편까지 가지말고 차라리 짧고 굷게 2편에서 끝냈으면 어땠을지..",3
토르: 러브 앤 썬더,학교에서 보러 갔는데 OO노잼탑건 보고 싶었는데 ,4
맥아더 : 일본 침몰에 관한 불편한 해석,영화를 영화로 보지 못하는 미개한 라깨들의 반일감정을 엿볼 수 있는 리뷰후기들에 극소름,10
토르: 러브 앤 썬더,"화려한 액션과 섬세한 연출로 돌아온 토르. 가족 모두가 즐길 수 있지만 액션과 스토리가 다소 무난해서 아쉬웠다.  토르의 재치와 고르의 명연기, 마이티 토르, 발키리의 활약이 인상깊었다.",8
탑건: 매버릭,두번째 보니까 더 감동이네,10
엘비스,음악도 좋고 연기도 너무 잘했고 감동적이었어요 . 적극 추천합니다.,10
탑건: 매버릭,"흠잡을곳없는, 할리우드다운 영화",10
탑건: 매버릭,까탈이 중학생 딸래미가 모처럼 따봉 해준 영화나오면서 혹 마하가 뭔지 아냐고 물으니까마하반야? 라고 대답해서 한참 웃었다는...,10
헤어질 결심,간만에 만난 가슴 먹먹한 사랑이야기. 송창식 목소리에 결국 참았던 눈물 또르륵..‘나 홀로 걸어가는 안개만이 가득한 거리.그 언젠가 다정했던 그대의 그림자 하나’아. 이 부질없는 인생의 마지막에 남는 건  결국 사랑이리. ,10
RRR: 라이즈 로어 리볼트,정말 시원한 말도 안되는 재미를 줄 겁니다. 꼭 보세요.,10
탑건: 매버릭,아이맥스로 한번 더볼거임,10
탑건: 매버릭,최근 몇년 사이 최고의 액션이네요. 묵직한 기계들의 액션. 원작을 뛰어넘어요,9
탑건: 매버릭,진짜 이게영화지 오랜만에 가슴뛰었다,10
탑건: 매버릭,이때까지 본영화중에 탑3 안에 들정도로 재밌고 감동적이었습니다 꼭 보세요!,10
탑건: 매버릭,1편을 보고나서 봐야 더 재밌게 볼 수 있다. 영화관 가기전에 1편 보고 가기 강추. 재밌는 영환데 1점 준 이유는 평점이 너무 높아서 평점 조절용,1
탑건: 매버릭,시간가는줄 모르고 봤음. 영화관에서 봐야할 영화,9
그림자 살인,평점 왜 이렇죠?  ㅎㅎ 꼭 보세요.잼나요.,9
킬링 카인드: 킬러의 수제자,스토리가 영...   뭥미?,6
헤어질 결심,박찬욱의 기존 영화들에 비해 마일드하고 정적이지만 좋은 은유와 장면들로 사랑에 대해 생각하게 되는. 근래 이런 영화가 있었나 싶어 십점 .,10
자산어보,"아름다운 영상도 좋고, 너무나 가슴에 와 닿는 이야기도 좋고, 몰입하게 만드는 주연 조연 모든 배우들의 연기도 좋고, 어느 하나 거슬릴 것 없이 완성도 높은 시나리오도 좋고. 무엇이 더 필요할까. 평점 만점이 전혀 무색하지 않을 영화다. 이 영화를 이제서야 보게 되다니, 그것이 한스러울 뿐. 흑백의 영상이 이렇게도 아름다워 저절로 감탄을 자아내게 하다니, 돋보이는 영화 연출의 힘인가 아름다운 흑산도 자연의 힘인가. 다시금 정약전 정약용 형제를 상고할 수 있게 되었다. 정말 존경스러운 우리 조상님들이 아닐 수 없다. 연기 중간 중간에 귀를 때리는 주옥같은 대사들이 가슴에 깊이 남는다. 심혈을 기울여서 만든 시나리오가 아닐까 싶다. 시대를 앞서는 이런 개혁의 선구자들은 당대에서는 빛을 보지 못하고 이렇게 후대에 그 이름을 떨치는 것이 너무 안타깝다. 수구를 타파하는 개혁이란 이런 것인가. 가슴에 눈물이 맺힌다.",10
헤어질 결심,"내가 지금껏 봤던 것들이 진짜 영화인가, 이 영화가 진짜 영화인가. 최고의 영화로 남았다.",10
탑건: 매버릭,무조건 봐라 진짜 인생영화,10
탑건: 매버릭,몇 년만에 본 감동 영화,10
마녀(魔女) Part2. The Other One,"스토리와 액션신을 불필요하게 질질 끈다는 느낌이 있기는 했으나, 기대를 죽이고 간 상태에서 나름 나쁘지 않았던 영화.",6
토르: 러브 앤 썬더,"호불호 세게 갈려서 걱정했는데, 재밌게 봤어요~",10
탑건: 매버릭,4d로 못봐서 아쉬웠지만 2d로 봐도 그액션감은 느껴졌다.,10
탑건: 매버릭,걍 보세요 제발ㅜㅅㅜ 이렇게 영화관 가서 계속 본 영화는 첨이네요...,10
탑건: 매버릭,신/구의 조화가 아름답습니다. ,9
명탐정 코난: 할로윈의 신부,진짜 너무너무너무너무 재밌는 극장판이에요 ㅜㅜ 진짜 메인테마랑 ost랑 연출 모든 게 역대급인듯... ,10
RRR: 라이즈 로어 리볼트,강추 재미있어요 ~~!,10
토르: 러브 앤 썬더,앞으로  마블영화는  걸러야하나? 별론데,5
쿵푸팬더3,4가 나오면 팬더판 트랜스포머야!,4
쿵푸 팬더 2,여전히 재밌고 여전히 건방지네!,6
텍사스 전기톱 학살 2022,"ㅅㅂ 결말이 줫같네 전기톱 살인마는 총맞고 칼맞고 얼굴 썰려도 안뒤지네,마지막 결말도 ㅈ 같고,역대 호러물중 최악중에 최악 ㅉㅉ",1
내부자들: 디 오리지널,"알아서들 조용해진다던 대중들, 뼈를 찌른다",8
반도,한국 좀비 영화라면서 기대하고 봤는데 노잼 부산행 생각하고 보면 큰 코 다침,4
마녀(魔女) Part2. The Other One,초반은 조금 루즈하다가 중후반부터는 시간순삭,10
헤어질 결심,좋아요 극장에서 봐서 좋았어요 왜 박찬욱 탕웨이 박해일 하는지 알겠어요,10
마녀(魔女) Part2. The Other One,아 진심 서은수 욕 오글거리고 못봐주겠음스토리도 뭘 보여주려는지 모르겠음 이렇게 난해한 영화는 처음..^^,1
원샷,식상한 포스터보고 봤다가 큰 코 다치는 영화. 롱테이크 기법의 진수. 90분이 후다닥!,10
탑건: 매버릭,2년만에 영화관 오랜만에와서 본 후회없는 선택,10
코치 카터,학교에서 이 영화 보고 재밌어서 네이버에 쳐 봤는데 내가 태어나기 전에 나왔네....ㄷㄷ,10
더 킬러: 죽어도 되는 아이,장혁의 맨몸액션과 카 체이싱 액션! 하지만 조금 잔인하지만 볼만 하다. 엄청난 이야기다.,8
엘비스,초반좀흥미갈수록  지루보다 나왓어요,6
랑종,재밋다 정말 조타ㅎㅎㅎ,10
토르: 러브 앤 썬더,"PC개떡칠. 운동 자체 취지는 좋다만, 앞뒤는 가리면서 해야지. 걸핏하면 흑인 걸핏하면 우먼파워, 게이, 레즈 진짜 미쳐버리겠다. 맥락 좀 가리면서 하자.",1
이터널스,아... PC빔 상관 없는데 남자끼리 결혼해서 애 키우는 거 상관없는데 남자끼리 키스하는 걸 굳이 꼭 보여줬어야 속이 후련했냐? 40~50 먹은 중년 아저씨 둘이서 키스 히부레 진짜 ㅋㅋ 이런 장면을 왜 보여주는 거야 차라리 레즈 키스면 말도 안해,8
싱크홀,중간중간 개그요소도 많고 재밌었음,10
우리 집에 왜 왔니,너무 좋았어요 특히 배우 연기들이..,10
브로커,뭘본건지 참 잠오는영화다,2
인질,황정민 원툴 영화,5
탑건: 매버릭,개씹노잼 알바에 속지마셈 보다쳐잠~ 알바나가셈 수고~,1
사도,저는 내용과 스토리보다 연기랑 명대사가 좋았음,10
킹메이커,보다잤음,1
탑건: 매버릭,이에 비하면..R2B는..후...,10
보이스,보이스피싱이 무서워짐,10
탑건: 매버릭,말해뭐해 그냥 보고 또 보고 또볼거에요 ㅠㅠ,10
텍사스 전기톱 학살 2022,PC사상인가.  여주들이 레즈들같이 생겼음. 외모를 안보고 뽑는거면 연기력이라도 훌륭하든가. 제작비가 아깝다,2
토르: 러브 앤 썬더,엄청 재밌는 영화는 아니고 그렇다고 아주 망작이라는것도 아니고 평범하다고 생각한다. 물론 9000원 관람쿠폰으로 봤기때문에 이렇게 생각하는것 일수도 있다.,5
오로라 공주,내 아이가 잘못됐을 때 모성은 끝간데없이 잔인해 질 수 있다. 자녀가 있는 사람이라면 공감할 수 있을 것이다. ,10
명탐정 코난: 할로윈의 신부,정말정말 재밌습니다!!,10
닥터 스트레인지: 대혼돈의 멀티버스,이전 시리즈 안본 사람들에겐 스토리 몰입도가 다소 떨어짐,8
범죄도시2,영화보는 내내 재미있는 영화,10
토르: 러브 앤 썬더,기대를 안하고 보면 볼만하고기존의 마블영화처럼 기대를 하고 보면 재미없음..,7
탑건: 매버릭,모든 것이 완벽3편 계획 빠르게 공개 되기를,10
아이 엠 우먼,I Am Woman,6
마녀(魔女) Part2. The Other One,이젠 신을 능가하는 능력,6
탑건: 매버릭,인생영화 중에 인생영화 ,10
그레이 맨,와.. 본시리즈처럼 시리즈로 나왔음 좋겠어요,10
탑건: 매버릭,전투기씬이 정말 재밌네요 ㅎ ,10
탑건: 매버릭,내인생 처음으로 같은영화를 같은날 2번봄 2D랑 4DX로 인생영화임,10
토르: 러브 앤 썬더,저는 무조건 추천입니다 개인적으로는 1탄 토르는 안봐서 모르겠고 기존것 보다는 재밌더라구요....,9
탑건: 매버릭,탐크루즈의 대표작이 될 영화군요.  미국의 힘이 느껴지는 영화,7
토르: 러브 앤 썬더,마블의 어린이 관객 유치를 위한 노력이 돋보이는 듯 하여 마음에 듭니다. 유치해서 재밌었습니다. 5탄부터 내용이 산으로 갈까봐 조금 걱정됩니다.,7
탑건: 매버릭,처음씁니다. 무조건 보세요! 영화관에서,10
창,"몸을 파는 직업을 보고 영혼을 파는 직업이라고 하죠, 그 피폐해져가는 과정이 정말 현실감있게 그려진 영화였습니다. ",8
신의 분노,여러 시간대를 오가지만 흐름 이해에 어려움 없이 긴장감만 높여주는 탁월한 구성이었다. 어느 한쪽에 치우침 없이 각 인물에 몰입하고 생각해볼 수 있도록 해주는 상황 설정도 좋았다.,9
탑건: 매버릭,늘 같은 맛이라고 하지만 맛집이 잘되는 이유가 있는 법. 그리고 모든 맛집들은 기본에 충실하다. 클리셰 범벅인 영화라고는 하지만 기본기가 이정도로 극한까지 단련된 영화라면 그것만으로도 업적이지,10
탑건: 매버릭,중간에 좀 졸았는데 전투기 씬은 흥미진진하게 봤음,9
탑건: 매버릭,진짜 재밌어요 또 보고싶을 정도.. 내용도 내용이지만 배우들의 연기가 마음에 와닿아서 더 몰입하면서 볼수 있었던거 같아요ㅠ 내일 또 봐야징..,10
탑건: 매버릭,너무 재밋엇습니다,10
토르: 러브 앤 썬더,평점 되게 낮네 그정도는 아님.. 볼 만 해요 마블 영화중에 오랜만에 이전 시리즈 몰라도 가볍게 볼 수 있는 영화 나와서 좋았음. 재밌어요. ,9
랑종,"재미가 없다는 내용이 많네요, 사실 과학이 발달하고 시대가 변해가며 귀신이나 퇴마 이런 것들이 줄 수 있는 공포감은 한계가 달했다고 봅니다. 즉 앞으로 이런 영화가 줄 수 있는 공포감은 얼마나 소름끼치고 기괴한 연출을 갖고 공포심을 심어주느냐와 관객에게 기분나쁘고 찝찝한 기분을 얼마나 오래가게 하느냐에 달린 것 같은데 개인적으로는 이제는 공포영화를 단지 무섭다 라는 수단으로만 접근할 것이 아니라 그 속에서 갖고 있는 철학적인 의미와 전달하려는 뜻을 나만의 방법으로 풀이하고 느끼며 그 외 공포적인 수단들을 즐겨주는 것이 맞다고 봅니다. 흔히 말하듯 사람이 제일 무서운 세상이 되버린지는 오래니깐요ㅎㅎ 저는 개인적으로 나쁘지않게 보았습니다. 이 영화를 재밌게 보신 분들은 링, 곡성, 유전, 미드소마, 주 보셔야죠 이제 전 아직 주는 못봤습니다 혼자살아서요..",8
핸썸,음….. 네…. 보지 마세요 연기가 ㄹㅇ 발연기….,1
헤어질 결심,이렇게 뻔한 스토리가 이토록 오묘한 방식으로 이렇게나 깊은 여운을 남겨줄 수 있다는게 놀라울 지경입니다. 어딘가 힘이 잔뜩 들어가 있어 보였던 박찬욱 감독뉨의 미장센이 드디어 곱게 흐드러진 웰메이드 작품을 만들었네요. ,10
헤어질 결심,"서래라서 할 수 있었던 결심.1부에서는 해일에게, 2부에서는 서래에게 스며들게 됨",9
남한산성,"This movie is based on the historical fact of the Qing invation df Joseon. The film is structured in such a way that the conflict between the characters is developed through dialogue. While watching the movie, if you focus on the conversation between Choi Myung-gil and Kim Sang-heon, the  you can focus more on the content.",10
탑건: 매버릭,할리우드의 표본 제니퍼 코넬리 털 깍으니 이쁘네 일자눈썹,8
콜럼버스,"거울과 나, 엄마와 딸, 나와 타인, 남자와 여자, 아버지와 아들, 사람과 건물, 닮은 듯 다른, 대칭과 비대칭. 그 속에서 새롭게 발견하는 관계와 의미들.",9
토르: 러브 앤 썬더,연기 잘해서 10점내용은 거의다 재미없음,10
탑건: 매버릭,살면서 평점 주는게 처음이네요 5개도 부족하네요 진짜 힐링 그자체 꼭 보세요!,10
토르: 러브 앤 썬더,"재미, 스토리, 액션 3박자를 모두 놓친 영화",2
탑건: 매버릭,와 진짜 재밌게 잘봤어요 ㅎㅎ 전투기 조종하는 영상미가 ㄷㄷㄷ 죽음이 문전에 있지만 가슴 뜨거운 파일럿의 삶이 조금 부럽네용,10
국제수사,"평이 너무 안 좋아서 좀 놀랐는데, 포지션이 어중간하다는 표현에는 어느 정도 공감한다. 충청도 사투리를 버무린 콩트같은 느낌과 다소 허술한 전개에 호불호가 갈릴 순 있겠지만 킬링타임용으로 무난히 볼 수 있는 영화인 것 같다. 다만 필리핀을 지나치게 비하하는 느낌은 좀 아쉬웠다.",6
탑건: 매버릭,존잼존잼존잼존잼존잼,10
토르: 러브 앤 썬더,재밌기만 하구만 왤케 욕먹음,8
남한산성,"In the old days of the Joseon Dynasty, the structure of the opposition between the position claiming the cause of the cause and the position insisting on the practicality was very interesting.",10
할로우 맨,"전반부 실험 장면들의 임팩트가 컸고, 후반부까지 이어지는 긴장감 조성과 전개가 좋았다.",9
마녀(魔女) Part2. The Other One,걍 재미 1도없고 오글거리기만 하넹...,1
뒤틀린 집,이건 다운로드 빨리 풀리겠네....,1
마녀(魔女) Part2. The Other One,생각보다 정말 재미없습니다. 마녀 1 재미있게 보셔서 보는 것이라면 비추천 합니다.정신이 나갈 것 같아요. ,2
마녀(魔女) Part2. The Other One,1편하고 내용 똑같고 출연진만 다른 리메이크한줄 2편이 상하이편이라던데 코로나때문에  못찍어서 3편을 먼저개봉한거라더니 2편 상하이편까지만 찍고 접어야할듯 박수칠때 떠나야됨 더찍으면 폭망해서 투자자 없을듯 ,2
남한산성,"It may have been boring because it contains only arguments and objections, but it was interesting to know the situation of Joseon, which was isloated by the Qing Dynasty at the time, by capturing the sense of urgency such as voice and trembling of the body,",10
남한산성,"Hi, this time, I&amp;#39;m going to introduce you to this movie. This movie depicts the background of the Qing dynasty to be his own paper to Injo, the king of the Joseon Dynasty. The performances of the best actors in Korea stand out really stand out, and it&amp;#39;s a perfect movie that doesn&amp;#39;t have time to be really boring. I really want to watch this movie. Byeem it!",8
탑건: 매버릭,제대로 영화봤다는 느낌 뽝 들게해주시네,10
패딩턴,오늘 학교에서 봤는데 재미있어요.,10
탑건: 매버릭,정말 재밌게 관람했어요 오늘 한번 더 보러 가려구요,10
마녀(魔女) Part2. The Other One,중국어 나오면서 황당한 무협영화 같은 장면 나와서 순간 중국 3류 영화인줄 날았네… vod만원 결제해서 봤는데도 너무 아까움 ,2
남한산성,Hi I&amp;#39;m good Korean boyLet me introduce this movie!This video is very interesting and Joseon&amp;#39;s history very sad I like this movie thank you.,6
퍼펙트 케어,인과응보.       결말이 맘에 들어요 ,10
탑건: 매버릭,진심 꾸우우ㅜ우우울잼이에요,10
토르: 러브 앤 썬더,스토리 플롯은 좀 약하네요. 개연성은 좀 떨어지지만 뭐 마블 영화에 그런 거 다 기대하는 건 아니잖아요? ^^,7
탑건: 매버릭,그냥 미쳤음 영화관 관람을 추천함 내 생애 최고의 영화임한번 더 보고싶음,10
탑건: 매버릭,최고입니다,10
탑건: 매버릭,정말 몇 안되는 만점 영화  ,10
탑건: 매버릭,탑건1 요약 20분 짜리 보고 왔는데 큰 문제는 없었어요. ost 계속 귀에 맴돌고 비행 장면 짜릿합니다!!,10
화려한 휴가,어렸을때 봤던영화 실화라는게 더 무섭고 슬픕니다 ㅠㅠ ,10
멘,오랜만에 잘 만든 호러 영화,10
화려한 휴가,어렸을때 봤던영화 실화라는게 더 무섭고 슬픕니다 ㅠㅠ ,10
토르: 러브 앤 썬더,SF액션코믹 영화. 저는 그냥 보기에는 재미있었어요. 하지만 정가 주고 보기에는 아쉬운게 사실입니다.,6
더 킬러: 죽어도 되는 아이,정말 최악입니다. 장혁 안티팬 할래요,2
