movie,sentence,score
토르: 러브 앤 썬더,진입장벽을 이렇게나 낮추고도 감동과 카타르시스까지.. 역시 마블은 실망시키지 않네요~ 약자를 위하고 사랑을 하며 살자는 메시지가 핵심이네요. 평점 보고 괜히 주저하지 마시길~ 진정한 마블팬이라면 넓고 따뜻한 마음과 찰떡같은 이해력으로 쫌생이들의 정치적 메시지 방해를 이겨낼 수 있음! ,10
엘비스,조금 지루한 부분도 있었지만 무대연출이 좋았습니다,7
명탐정 코난: 할로윈의 신부,명탐정 코난 잘 봤습니다,6
내 머리 속의 지우개,기억이 없어도 행복은 공평하다,10
감동주의보,홍수아를 다시 보게 된 영화.이제는 tv에서도 보고싶다.잘했어.,10
헤어질 결심,두 번 이상 봐야 될 것 같아요!,8
명탐정 코난: 할로윈의 신부,코난 중에 가장 재밌고 몰입도도 좋았고 무엇보다 개연성이 짱!  진심으로 영화관에서 보세요!!!!후회 안하실 겁니다,10
탑건: 매버릭,23년인생 최고의 영화였고 앞으로도 최고의 영화일 것 같습니다 ㅎ,10
토르: 러브 앤 썬더,크리스찬 베일만 보이는 영화그는 대배우이다,6
레지던트 이블: 라쿤시티,pc묻어서 레온이 히스패닉이고 질발렌타인 흑인?? 장난치나 정도껏 해라,1
탑건: 매버릭,정말 재밌게 잘봤습니다.,10
그레이 맨,영화 잘봤습니다 영화 잘봤습니다 ,8
탑건: 매버릭,정말 재미있다이게 영화지,10
탑건: 매버릭,&amp;#34;LEGEND&amp;#34;라 쓰고 &amp;#34;MAVERICK&amp;#34;이라 읽는다,10
브로커,뭘 본건가 싶다... 배두나 이주영은 여형사인데 차안에서 먹방한거밖에 기억이 안남..,5
걸캅스,진짜 재밋음 근데 후반에 좀 오글거림 이성경 존예ㅠ아니 근데 주우재 나올때 몰입 너무 안됏음ㅋㅋ주우재 사랑해여...,10
백사대전,"반전 영화임 최고의 빌런은 법해.그는꼰대이자 요괴한테는 인정사정없고, 제자한테만큼은 편파적인 애정으로 용서함~",6
토르: 러브 앤 썬더,마블이라는 정으로 평을 뒤로하고 보았다. 재밌었다. 최후 전투씬 전까지는. 그 이후의 전개와 스토리는 너무나도 아쉬웠고 몰입이 확 깨졌다. 결말 또한 아쉬웠다. 좋은 OST를 가지고도 적절히 활용을 못했다. 흑백씬은 최고였다.,10
아키라,"1980년대라고는 믿기지 않을 정도의 세밀한 작화, 스토리. 공상과학영(만)화의 입문작으로도 매우 추천함.",10
토르: 러브 앤 썬더,토르 시리즈 다봤는데 볼만하구만 참고로 팬아님,10
바람의 파이터,제대하고 참 재밌게 봤었는데 마흔되고 다시봐도 재밌네요. 그런데 나이먹어서그런가 뭉클해지네,10
탑건: 매버릭,내 30년 인생... 영화관에서 3번 본 영화는 이게 처음이다.말이 필요한가...,10
님포매니악 볼륨1,셰임의  여성판,7
헤어질 결심,길게 여운이 남는 영화 영화관에서 나오는 순간부터 계속 생각나는,8
탑건: 매버릭,말이 필요없다 보고 오줌 쌌다,10
콘스탄틴,후속작 부재가 가장 안타까운 영화.. 포인트는 말기폐암환자도 맨손으로 완치시키는 최고의 의느님 루시퍼짱,10
탑건: 매버릭,시원한 영화 그 자체,10
엘비스,너무너무 좋았다 !! 혼자 가서 봤는데 2시간 반이라는 시간이 지루하지 않고 몰입하게 만들었다 바즈 루어만 감독이 맡은 영화 특유의 연출이 돋보였 고 엘비스 프레슬리의 노래 또한 너무 좋았다..,10
탑건: 매버릭,진짜 너무너무 멋있음.. ㅠㅠ 톰크루즈 진짜 사랑합니다. ㅜㅜ,10
엘비스,시간 순삭. 퀸보다 더 좋았음. 배우가 앞모습은 엘비스와 전혀 안 닮았지만 옆모습은 빼닮아서 영화에 더 빠져들었음. 엘비스 프레슬리 넘 멋있지만 불행했던 사람. 사랑해 엘비스~~~,10
애프터 양,영혼이 맑아지는 것 같은 영화. 무엇을 남기고 싶었어 양?ㅠㅠ 8월달에 영자원에서 상영하는 것도 볼거고요... 왓챠 들어오면 맨날 볼 것임....,10
